No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
251,IRT,2.62B,84.90,98.99,16.98,11.51,3.44,301.33,-,-69.30%,21.08%,-27.50%,5.00%,14.20%,24.45,0.95%,"1,509,122"
252,ISBC,3.67B,11.90,11.09,1.15,3.98,1.22,4.33,12.86,26.20%,6.37%,11.50%,10.38%,6.00%,14.81,0.61%,"1,990,126"
253,IVZ,10.59B,9.06,7.32,0.39,1.57,0.96,5.97,8.67,-11.60%,5.43%,-12.90%,23.17%,3.60%,22.90,0.84%,"3,371,402"
254,JAMF,4.21B,-,162.01,-,12.41,5.51,18.52,56.31,25.40%,52.86%,-,54.15%,-,34.67,4.15%,"1,461,869"
255,JBLU,4.46B,-,21.09,-,0.92,1.12,1.35,3.56,-355.90%,151.80%,-34.90%,-,-14.40%,13.96,-0.07%,"7,486,330"
256,JEF,9.48B,6.41,10.18,0.36,1.04,0.98,1.00,-,-12.40%,-37.40%,29.50%,18.00%,-9.80%,38.57,0.18%,"823,319"
257,JELD,2.33B,14.85,10.27,0.51,0.50,2.88,5.24,11.97,45.10%,31.09%,18.40%,29.30%,4.60%,24.98,-0.52%,"915,680"
258,JNPR,10.66B,75.17,17.37,8.04,2.29,2.52,8.01,31.69,-22.40%,14.22%,-13.50%,9.35%,-1.80%,34.05,1.58%,"4,988,547"
259,JWN,3.28B,434.68,9.94,72.45,0.23,9.04,12.27,-,-238.10%,64.48%,-27.70%,6.00%,-5.80%,20.43,0.94%,"4,902,716"
260,JXN,3.58B,-,1.96,-,0.55,0.36,1.44,-,-228.60%,-11.59%,-,-,-,39.00,2.39%,"3,453,386"
261,KBH,3.80B,8.45,5.64,0.23,0.73,1.40,10.83,-,9.80%,33.03%,29.90%,36.70%,6.60%,44.17,2.06%,"1,353,842"
262,KBR,6.47B,-,18.32,-,1.03,4.34,11.77,21.23,-135.60%,6.34%,-18.70%,16.52%,2.50%,46.10,2.44%,"1,247,559"
263,KDP,49.51B,29.22,21.01,3.09,3.99,2.07,247.53,35.49,7.90%,6.06%,-24.80%,9.47%,13.10%,35.65,1.68%,"6,506,301"
264,KEY,21.50B,9.11,11.51,0.80,4.90,1.40,9.46,16.30,-21.90%,-21.04%,3.50%,11.40%,12.30%,23.11,1.54%,"11,520,067"
265,KHC,41.84B,19.48,13.21,-,1.59,0.85,18.41,33.83,-85.80%,-5.00%,24.70%,-2.44%,7.40%,34.88,0.29%,"5,907,595"
266,KIM,14.20B,12.42,32.82,2.70,11.74,1.26,29.37,145.36,181.30%,-58.46%,2.40%,4.60%,-1.90%,22.81,0.75%,"4,516,956"
267,KMI,38.46B,20.69,15.48,2.80,2.51,1.18,-,18.93,-95.10%,-21.88%,-14.70%,7.39%,-4.10%,15.87,0.32%,"14,853,689"
268,KMT,2.98B,26.93,14.24,0.74,1.55,2.26,27.77,42.99,526.30%,28.01%,17.40%,36.50%,-2.60%,35.73,0.73%,"434,855"
269,KN,2.04B,24.25,13.97,1.62,2.32,1.50,14.55,13.37,-94.10%,6.71%,-31.10%,15.00%,0.30%,22.21,1.60%,"951,693"
270,KNBE,4.14B,-,236.24,-,18.29,23.62,15.20,-,98.10%,26.25%,-,-,-,23.86,1.97%,"774,271"
271,KR,33.66B,34.52,13.62,5.24,0.25,3.72,15.13,25.99,60.60%,-2.53%,9.70%,6.58%,3.80%,46.22,1.40%,"9,003,188"
272,KRG,4.54B,163.92,56.45,-,16.30,1.44,45.65,230.59,231.60%,39.62%,-29.50%,-,-5.10%,20.49,0.15%,"2,054,622"
273,KSS,7.25B,7.62,7.34,-,0.38,1.45,3.87,4.55,-124.20%,-8.02%,-18.20%,-5.94%,-3.60%,49.18,-0.65%,"6,209,704"
274,KTOS,2.49B,31.13,47.57,15.57,3.08,2.59,6.72,197.22,585.70%,34.31%,26.20%,2.00%,2.60%,19.55,0.57%,"850,249"
