No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
1,AAT,2.15B,91.97,44.10,30.66,6.06,1.71,12.53,-,-45.30%,111.84%,-11.70%,3.00%,4.60%,35.50,1.40%,"271,482"
2,AB,4.63B,13.56,12.45,-,12.05,3.07,-,-,15.90%,7.22%,9.30%,-3.88%,8.00%,47.86,-1.03%,"629,096"
3,ABCB,3.35B,8.66,11.43,1.08,4.77,1.16,0.89,35.76,37.00%,-22.02%,24.30%,8.00%,30.70%,48.30,-2.03%,"805,296"
4,ABM,2.74B,19.16,11.79,1.20,0.45,1.75,5.42,7.31,-99.80%,-1.92%,-68.40%,16.00%,4.10%,40.88,-11.01%,"1,429,676"
5,ABR,2.51B,8.21,9.25,1.03,3.32,1.52,6.59,-,-4.00%,-5.32%,6.50%,8.00%,33.50%,17.61,0.69%,"1,649,108"
6,ACI,13.99B,24.14,12.04,-,0.20,7.16,4.91,9.78,-11.70%,-3.55%,23.00%,-8.69%,3.50%,30.13,-0.40%,"2,675,021"
7,ACIW,3.91B,46.68,25.85,3.89,3.03,3.29,27.67,14.21,8.80%,15.11%,-3.10%,12.00%,4.40%,33.47,2.83%,"896,726"
8,ADT,6.64B,-,10.47,-,1.27,2.41,108.47,5.35,-43.50%,44.91%,-53.20%,-7.00%,57.40%,8.04,0.00%,"1,975,580"
9,ADV,2.55B,-,9.30,-,0.45,0.96,15.17,-,-390.90%,21.21%,-,14.46%,-,7.44,-2.75%,"558,410"
10,AEL,3.40B,10.35,7.49,-,0.94,0.54,0.27,2.16,157.50%,53.94%,20.50%,-,9.80%,37.17,1.64%,"299,164"
11,AEO,4.16B,13.21,9.59,1.72,0.87,2.87,5.62,68.89,-212.30%,7.05%,-25.80%,7.70%,1.30%,23.87,0.21%,"7,165,067"
12,AES,16.17B,31.50,14.58,3.66,1.48,7.01,10.23,-,-85.80%,8.24%,-32.60%,8.60%,-3.00%,24.13,2.20%,"3,611,848"
13,AGNC,8.09B,5.67,6.05,1.86,4.60,0.87,8.24,11.06,-156.60%,-14.79%,-26.40%,3.04%,-6.00%,15.17,-0.13%,"7,965,689"
14,AGR,19.14B,22.19,20.45,2.74,2.85,0.98,13.58,-,-12.90%,10.49%,11.80%,8.10%,7.70%,48.45,0.54%,"475,481"
15,AHCO,2.80B,-,15.14,-,1.32,1.39,8.30,157.07,-225.50%,23.78%,-,46.50%,-,21.05,-0.99%,"599,248"
16,AIMC,3.25B,22.00,12.89,1.47,1.73,1.55,12.67,14.80,-120.00%,21.81%,-18.00%,15.00%,18.20%,49.46,-1.00%,"700,529"
17,AJRD,3.50B,25.40,20.83,2.07,1.62,8.69,5.52,-,-2.00%,3.98%,51.30%,12.30%,3.90%,43.54,-0.48%,"349,988"
18,AL,4.82B,12.94,8.89,0.77,2.43,0.73,2.57,4.66,-13.60%,49.73%,13.40%,16.76%,10.50%,42.25,0.31%,"606,550"
19,ALGM,6.57B,103.27,36.18,7.95,9.11,10.03,26.43,62.34,-51.50%,25.52%,-30.70%,12.99%,15.90%,34.70,4.99%,"1,367,098"
20,ALIT,5.66B,-,12.12,-,2.06,7.06,12.30,-,-568.20%,6.16%,-,-3.73%,-,10.45,0.87%,"2,302,010"
21,ALLY,16.46B,5.76,6.60,0.79,1.93,1.15,1.25,-,-33.80%,-15.22%,23.10%,7.33%,0.90%,47.84,-0.50%,"2,912,898"
22,ALSN,3.55B,9.79,6.89,0.40,1.55,5.13,13.62,8.86,-46.60%,28.14%,20.60%,24.76%,0.90%,34.22,-3.25%,"1,613,560"
23,AM,4.54B,13.67,11.45,-,5.13,1.94,-,23.43,68.00%,12.48%,-,-,-,9.39,1.40%,"4,186,838"
24,AMH,14.12B,119.01,97.93,4.18,11.16,2.30,220.56,30.34,-3.10%,17.86%,21.90%,28.50%,13.40%,42.01,2.26%,"1,467,810"
25,AMKR,5.68B,10.22,9.42,0.40,0.98,2.06,7.19,35.58,177.30%,2.17%,45.30%,25.40%,11.90%,23.06,3.59%,"1,001,007"
26,ANF,2.06B,7.78,8.61,0.43,0.56,2.22,2.38,6.74,-404.60%,-15.90%,-40.90%,18.00%,-2.30%,34.37,0.85%,"1,710,484"
27,APA,8.90B,15.83,5.04,-,1.29,-,23.61,3.10,-36.40%,21.91%,14.80%,-,-7.40%,25.10,0.60%,"7,643,696"
28,APAM,3.66B,9.16,8.81,0.40,3.12,10.99,12.63,15.23,28.50%,3.30%,12.90%,23.00%,2.20%,45.73,0.79%,"622,538"
29,APG,5.26B,-,20.43,-,1.42,2.10,4.66,29.56,-462.70%,11.84%,-35.30%,6.00%,7.90%,23.53,2.80%,"1,228,251"
30,APLE,3.55B,-,24.06,-,4.34,1.12,90.03,27.50,-200.90%,647.06%,-26.10%,-,-7.70%,15.28,1.06%,"2,962,725"
31,AQUA,5.61B,110.91,48.33,6.87,3.83,9.66,38.36,54.24,-56.00%,19.92%,32.00%,16.14%,5.20%,46.25,1.83%,"603,142"
32,AR,5.32B,-,4.95,-,1.51,1.11,-,3.77,-319.20%,100.00%,-27.40%,-,-2.50%,17.12,4.90%,"8,269,764"
33,ARCC,8.79B,5.75,11.01,-,5.36,1.14,-,-,4.00%,0.00%,4.42%,-0.90%,-,19.93,-0.05%,"2,617,422"
34,ARMK,8.82B,-,15.90,-,0.73,3.21,16.56,64.22,80.40%,54.71%,-18.60%,-7.70%,-3.40%,34.21,-0.03%,"1,821,104"
35,ARNC,3.18B,-,10.67,-,0.47,2.17,9.11,-,-161.60%,2073.30%,-,12.66%,-4.20%,31.27,1.72%,"887,679"
36,ARRY,2.30B,-,24.55,-,2.79,282.33,19.72,-,38.00%,375.86%,-,-1.29%,-,16.94,-3.20%,"3,888,367"
37,ASB,3.35B,10.81,14.15,1.80,4.15,0.89,1.79,10.40,-2.50%,-24.53%,9.40%,6.00%,3.90%,22.60,0.36%,"1,663,130"
38,ASO,3.67B,7.69,7.55,0.18,0.58,2.72,6.63,-,178.30%,-13.27%,32.70%,41.90%,4.10%,42.59,1.26%,"3,196,732"
39,ATSG,2.08B,11.21,14.94,22.42,1.26,1.75,41.85,-,-51.60%,12.41%,-7.00%,0.50%,20.50%,28.15,1.62%,"331,788"
40,ATUS,4.12B,6.86,8.92,0.20,0.41,-,17.70,3.92,256.40%,-19.27%,-,34.21%,-,15.02,-0.33%,"4,555,164"
41,AUB,2.63B,10.65,13.36,1.33,4.33,1.02,2.47,13.72,-19.80%,-20.84%,5.40%,8.00%,18.70%,35.95,0.31%,"481,447"
42,AVA,2.91B,18.63,19.81,3.00,2.10,1.39,151.48,-,-36.00%,3.29%,0.20%,6.20%,-2.30%,41.65,1.51%,"444,481"
43,AVT,3.84B,12.08,7.95,1.16,0.19,0.93,12.84,-,723.20%,-1.29%,-8.10%,10.40%,3.10%,38.82,-0.23%,"687,741"
44,AVTR,24.44B,50.57,25.73,2.12,3.36,7.54,17.13,28.17,110.70%,11.23%,-,23.83%,58.60%,39.75,3.70%,"6,344,751"
45,AXTA,7.31B,26.84,14.91,1.33,1.68,5.14,11.65,16.48,-51.20%,21.73%,5.70%,20.20%,-1.90%,32.23,0.34%,"1,260,769"
46,AZEK,6.58B,72.91,31.96,3.17,5.58,4.68,26.26,201.78,175.20%,18.03%,-,23.00%,-,43.31,2.92%,"2,288,070"
47,B,2.27B,25.45,18.86,2.55,1.83,1.63,24.25,20.67,-59.60%,25.34%,-10.70%,10.00%,-1.20%,44.59,-3.59%,"313,314"
48,BAC,359.37B,13.17,13.86,0.54,7.72,1.49,0.41,-,-32.00%,-9.66%,7.40%,24.37%,0.80%,43.94,-0.43%,"59,268,233"
49,BE,3.93B,-,2446.67,-,4.47,-,32.27,-,57.40%,195.50%,18.80%,25.00%,35.70%,22.02,2.47%,"3,192,492"
50,BEN,16.96B,9.68,9.10,1.02,2.01,1.51,3.65,27.98,124.60%,6.28%,4.00%,9.49%,4.90%,34.61,2.61%,"2,666,483"
51,BKE,2.44B,10.18,11.38,1.27,1.98,4.55,5.08,16.95,24.10%,-10.81%,-2.80%,8.00%,-4.20%,48.83,1.60%,"875,452"
52,BKR,24.29B,378.25,19.66,-,1.18,1.20,5.61,37.42,2333.30%,75.65%,-27.10%,-,5.60%,23.83,-1.04%,"8,723,355"
53,BKU,3.66B,10.22,12.03,1.06,3.76,1.20,5.52,3.48,-34.30%,-15.86%,-2.60%,9.64%,3.90%,40.97,0.71%,"1,276,107"
54,BMBL,4.59B,26.56,166.68,-,6.35,2.52,15.75,84.28,-319.90%,-87.46%,-,-,-,35.17,-0.40%,"1,855,470"
55,BNL,4.02B,42.16,39.54,-,10.79,1.55,248.05,40.55,-14.10%,7.55%,28.70%,-,26.80%,24.79,1.10%,"647,344"
56,BOX,4.01B,-,23.98,-,4.78,-,5.66,16.85,71.50%,30.66%,30.10%,8.00%,20.60%,26.16,2.23%,"1,446,632"
57,BRDG,2.27B,-,18.88,-,5.00,36.44,11.48,-,4.70%,20.88%,-,-,-,20.77,-2.81%,"215,421"
58,BROS,7.96B,-,126.67,-,17.44,83.86,307.50,-,-79.80%,85.51%,-,-,-,48.64,-2.11%,"2,142,154"
59,BRP,3.92B,-,29.84,-,8.21,2.76,10.47,129.00,-19.90%,47.30%,-,42.00%,-,34.20,-0.06%,"807,454"
60,BRX,7.01B,33.06,29.84,-,6.22,2.60,17.65,33.91,-55.70%,-1.25%,-8.90%,-,-3.60%,23.57,0.90%,"1,974,690"
61,BSIG,2.24B,10.35,12.38,0.43,4.14,1.99,1.57,-,42.50%,60.44%,22.20%,24.20%,0.50%,27.12,-1.06%,"1,580,140"
62,BSM,2.16B,36.58,10.37,5.54,8.38,3.06,653.20,24.52,-48.00%,96.75%,19.50%,6.60%,-2.70%,10.06,-0.49%,"605,928"
63,BSX,57.49B,52.40,21.53,2.27,5.01,3.48,29.53,35.53,-119.10%,15.80%,14.60%,23.10%,5.80%,40.24,-1.49%,"14,053,960"
64,BSY,13.65B,146.02,60.43,14.04,14.95,39.06,87.59,54.41,6.90%,3.11%,36.40%,10.40%,34.80%,48.04,2.26%,"831,484"
65,BWA,10.72B,13.87,9.54,0.50,0.71,1.60,7.11,11.02,-37.10%,22.98%,-1.80%,27.80%,4.80%,44.66,0.13%,"1,598,404"
66,BWXT,4.44B,17.98,15.37,4.61,2.12,7.84,60.63,-,14.30%,2.83%,17.40%,3.90%,8.40%,48.07,0.86%,"671,174"
67,BXMT,5.19B,11.94,12.19,5.42,6.72,1.08,24.59,-,-58.70%,2.49%,-16.60%,2.20%,13.70%,30.65,2.34%,"2,619,049"
68,CADE,5.58B,10.63,11.31,-,7.06,1.11,12.35,31.09,-8.10%,56.62%,14.10%,-,11.50%,29.31,-0.20%,"1,589,889"
69,CAG,15.69B,13.29,12.45,5.92,1.41,1.85,234.22,51.55,54.90%,7.13%,59.30%,2.25%,5.20%,32.93,1.32%,"3,717,965"
70,CAH,13.86B,12.72,7.92,1.79,0.08,10.15,5.63,25.30,116.50%,8.76%,-13.60%,7.11%,6.00%,49.21,0.57%,"2,780,703"
71,CAKE,2.04B,667.97,12.66,-,0.75,6.15,15.55,24.87,-321.00%,37.88%,-36.50%,-10.00%,-1.10%,39.41,-3.22%,"1,041,502"
72,CARG,4.05B,37.53,23.15,1.93,5.30,6.64,12.60,22.75,83.30%,0.77%,43.50%,19.40%,41.10%,33.33,0.03%,"1,439,637"
73,CATY,3.29B,11.59,11.65,1.45,4.95,1.36,1.79,14.80,-17.50%,-1.05%,7.70%,8.00%,9.10%,42.97,0.89%,"411,487"
74,CC,5.35B,13.96,7.21,0.47,0.88,5.40,5.19,9.76,517.30%,10.00%,36.00%,29.50%,-2.80%,32.60,2.48%,"1,499,313"
75,CCCS,6.80B,-,43.03,-,-,1.64,4858.98,-,-,35.23%,-,-,-,11.23,0.72%,"1,272,679"
76,CDK,4.85B,24.04,12.78,2.40,2.85,10.99,59.99,20.74,-29.90%,12.96%,-0.50%,10.00%,-4.60%,40.55,0.52%,"1,129,993"
77,CDNA,2.31B,-,121.17,-,8.38,4.96,6.36,-,22.70%,8.58%,19.00%,20.00%,46.80%,44.47,6.67%,"621,986"
78,CENT,2.53B,18.10,14.35,1.81,0.76,2.19,5.92,14.81,24.60%,11.46%,25.80%,10.00%,12.60%,49.55,0.73%,"62,354"
79,CERT,4.43B,-,77.50,-,16.08,4.23,10.62,86.65,-534.10%,45.90%,-,38.90%,-,27.59,0.11%,"1,280,917"
80,CFG,20.08B,9.46,11.69,-,4.10,0.94,1.27,-,-41.70%,-21.73%,7.50%,-2.76%,6.80%,47.15,0.15%,"3,983,573"
81,CFX,6.98B,57.17,17.38,2.29,1.91,1.55,39.32,24.76,532.80%,20.75%,-20.90%,25.01%,-2.20%,44.71,0.47%,"1,095,994"
82,CHGG,4.11B,-,22.73,-,5.30,2.98,2.34,16.02,38.40%,3.11%,40.80%,30.00%,16.40%,27.89,1.53%,"2,760,648"
83,CHNG,6.59B,-,12.43,-,1.97,2.11,81.91,21.65,13.40%,12.54%,-,5.30%,-,21.08,1.20%,"1,981,059"
84,CHX,4.19B,56.24,17.04,-,1.41,2.44,16.49,14.93,-846.10%,107.08%,-56.90%,-5.94%,12.00%,20.92,-1.65%,"1,396,978"
85,CIM,3.67B,5.26,9.95,-,3.68,0.93,11.17,18.46,-96.30%,-9.79%,-44.40%,-2.54%,4.70%,15.21,-0.13%,"2,235,150"
86,CIT,4.81B,6.99,10.61,0.70,3.13,0.84,0.97,118.80,-224.70%,-42.80%,-29.80%,10.00%,4.50%,47.95,2.22%,"379,366"
87,CLBK,2.21B,24.19,26.64,-,8.07,2.05,6.52,21.68,6.60%,-9.94%,15.30%,-,12.60%,20.51,2.70%,"180,546"
88,CLF,10.28B,5.11,3.36,0.19,0.59,2.48,244.85,12.52,-131.30%,-1.47%,-19.90%,27.43%,21.60%,19.82,-3.18%,"31,677,467"
89,CLR,15.83B,19.14,7.00,3.83,3.42,2.29,22.82,5.15,-179.30%,38.20%,-11.50%,5.00%,-0.70%,43.42,1.07%,"1,918,510"
90,CMC,4.04B,9.82,9.92,1.36,0.60,1.74,8.12,-,46.30%,-13.77%,44.80%,7.23%,13.40%,33.18,1.00%,"1,615,814"
91,CMCSA,217.22B,15.51,12.98,0.86,1.91,2.31,18.40,16.61,-19.60%,16.65%,7.00%,18.10%,6.80%,48.18,-1.19%,"22,678,372"
92,CNA,11.98B,9.11,9.71,1.82,1.02,0.95,19.17,11.09,-31.00%,11.66%,7.40%,5.00%,3.10%,44.17,-0.11%,"84,552"
93,CNM,6.91B,81.58,23.71,-,1.65,6.03,103.77,-,8.00%,6.19%,-,-,-,26.84,0.68%,"423,934"
94,CNNE,2.94B,8.59,263.28,-,4.02,0.84,-,-,-102.10%,195.30%,128.60%,-,-16.20%,32.91,-1.29%,"1,044,868"
95,CNO,3.00B,7.50,10.52,0.75,0.73,0.59,3.69,4.94,-28.20%,-8.43%,6.20%,10.00%,-0.10%,24.24,0.41%,"1,099,784"
96,CNP,17.46B,20.30,19.85,11.28,2.16,2.10,16.72,-,-229.10%,-3.21%,2.10%,1.80%,0.10%,28.09,0.97%,"3,079,800"
97,CNX,2.87B,-,7.43,-,1.67,0.94,7167.63,7.30,-473.70%,6.93%,-9.10%,35.70%,-13.60%,13.88,-0.07%,"3,647,671"
98,CODI,2.08B,-,11.56,-,1.12,2.82,29.57,-,90.10%,2.99%,7.80%,7.00%,16.50%,31.88,-1.36%,"1,428,012"
99,COLB,2.58B,10.76,13.41,1.35,4.95,1.01,2.84,16.95,-19.10%,-12.62%,4.80%,8.00%,9.50%,32.96,-0.18%,"1,238,080"
100,COLD,8.57B,-,106.19,-,3.40,2.09,56.08,-,-54.70%,123.50%,18.30%,9.50%,6.10%,32.07,1.04%,"2,192,864"
101,COMM,2.18B,-,6.84,-,0.26,-,5.29,24.60,36.20%,24.82%,-53.70%,10.08%,17.20%,10.76,0.75%,"4,411,488"
102,COOP,3.02B,2.50,7.24,-,0.83,0.98,4.13,-,8.30%,-33.96%,21.80%,-8.54%,240.20%,40.49,-0.17%,"1,034,177"
103,CORT,2.03B,23.00,21.28,-,5.76,4.13,5.62,13.31,11.10%,5.47%,74.60%,-,47.70%,19.30,0.99%,"8,772,026"
104,COTY,8.14B,-,25.24,-,1.67,2.39,21.61,19.75,85.00%,60.57%,-20.00%,-5.90%,1.30%,9.97,1.53%,"5,224,027"
105,CPB,12.84B,13.79,14.77,6.08,1.53,4.06,186.14,30.15,69.70%,5.18%,12.80%,2.27%,1.30%,43.49,0.98%,"3,026,470"
106,CPE,2.60B,-,3.70,-,1.58,2.40,702.08,12.65,174.10%,44.89%,-11.10%,8.00%,49.70%,48.32,2.31%,"1,569,441"
107,CQP,19.02B,19.61,11.69,2.58,2.78,25.76,-,-,15.50%,25.40%,51.61%,7.60%,-,39.29,0.82%,"162,794"
