No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
47,CTXS,10.46B,33.27,15.84,5.12,3.29,26.08,23.26,27.66,-20.50%,6.81%,24.40%,6.50%,4.10%,83.73,0.71%,"1,324,692"
48,MU,95.27B,16.68,7.87,0.75,3.44,2.19,11.04,39.08,116.20%,23.86%,84.30%,22.27%,17.40%,85.66,2.85%,"13,528,918"
49,CZR,19.02B,-,66.38,-,2.24,3.81,-,120.35,88.40%,195.50%,-49.90%,27.50%,37.00%,87.16,1.16%,"1,914,458"
50,TRMB,22.09B,39.72,29.42,3.97,6.20,5.65,43.05,29.84,-24.00%,11.10%,27.00%,10.00%,6.60%,87.18,3.95%,"1,122,061"
51,AEP,43.69B,18.68,17.54,3.37,2.67,1.96,27.46,18.77,11.60%,5.99%,3.80%,5.55%,-1.90%,87.23,2.47%,"3,846,255"
52,MCHP,48.52B,65.00,17.90,3.55,8.03,8.50,190.03,31.88,16.00%,10.81%,11.60%,18.30%,20.10%,87.94,3.59%,"4,440,517"
53,PCAR,30.40B,17.57,13.06,0.62,1.36,2.70,8.05,41.16,-45.60%,29.82%,-3.70%,28.25%,-0.40%,88.09,-0.09%,"2,325,224"
54,NTAP,19.83B,21.52,16.10,2.45,3.28,26.09,4.36,22.85,-8.10%,9.07%,33.20%,8.80%,0.70%,88.70,2.14%,"1,318,763"
55,MNST,47.59B,31.95,31.02,2.25,8.96,7.72,16.20,36.38,30.00%,13.51%,22.70%,14.21%,11.10%,91.21,0.93%,"2,733,322"
56,HAS,13.93B,28.56,18.92,1.61,2.27,4.64,11.79,21.05,-60.10%,10.61%,-14.60%,17.70%,4.20%,101.40,1.00%,"794,493"
57,FISV,68.67B,53.82,16.00,2.84,4.35,2.17,73.60,24.08,-18.00%,16.27%,-1.30%,18.96%,23.10%,103.66,-0.55%,"4,199,006"
58,FANG,18.65B,53.84,6.02,0.95,3.36,1.64,40.82,6.49,229.60%,52.78%,-27.70%,56.96%,44.50%,103.75,-0.31%,"3,665,498"
59,CHRW,12.99B,18.40,17.24,1.49,0.61,7.02,64.11,-,-11.20%,-4.10%,1.20%,12.39%,3.80%,103.96,0.32%,"1,129,043"
60,STX,23.05B,15.26,11.27,0.70,2.01,39.30,23.26,33.61,41.60%,4.45%,45.50%,21.88%,-0.90%,104.53,2.04%,"1,565,846"
61,ROST,38.56B,24.28,20.23,-,2.12,9.59,7.33,31.65,-94.80%,11.85%,-37.40%,-,1.00%,108.82,-0.71%,"1,632,426"
62,SBUX,132.95B,32.40,28.71,0.96,4.57,-,20.09,55.39,351.00%,16.00%,13.30%,33.74%,6.40%,114.68,-0.03%,"6,808,450"
63,CINF,18.46B,7.45,22.41,0.52,2.05,1.58,17.02,12.44,-38.10%,-11.95%,14.40%,14.39%,7.90%,115.81,-0.07%,"389,089"
64,AKAM,18.70B,31.93,19.57,2.66,5.50,4.13,9.76,17.92,16.10%,4.82%,13.60%,12.00%,7.80%,116.24,1.75%,"1,093,906"
65,NTRS,24.52B,18.51,15.59,1.24,3.90,2.22,5.85,225.78,-17.60%,7.01%,6.50%,14.95%,5.20%,117.50,0.01%,"588,711"
66,TMUS,146.91B,44.27,36.08,1.04,1.84,2.16,36.23,123.76,-40.80%,41.34%,23.60%,42.60%,16.40%,118.42,0.95%,"4,000,269"
67,PTC,13.92B,29.53,23.53,1.80,7.70,6.82,42.63,40.45,258.40%,14.74%,60.00%,16.45%,9.60%,118.67,1.16%,"1,256,620"
68,MTCH,35.55B,67.40,47.45,2.28,12.57,-,67.95,40.69,3.80%,34.00%,23.20%,29.60%,21.30%,123.81,0.81%,"3,750,709"
69,PAYX,44.47B,37.24,33.87,4.21,10.57,14.83,38.96,89.32,-0.40%,6.85%,7.70%,8.85%,6.60%,125.28,2.33%,"1,444,790"
70,EA,36.27B,47.51,17.13,1.76,5.67,4.68,18.39,32.32,-72.20%,9.28%,-3.90%,27.01%,5.10%,128.90,1.62%,"2,432,054"
71,EXPD,22.41B,19.97,21.40,2.56,1.57,6.71,12.31,38.49,20.20%,-17.42%,11.10%,7.80%,8.90%,135.11,1.46%,"1,094,360"
72,DLTR,30.81B,23.64,19.14,1.59,1.18,4.35,43.93,87.19,62.90%,31.93%,34.90%,14.90%,10.50%,140.05,0.58%,"3,288,983"
73,AMD,176.34B,45.36,43.99,1.28,11.87,24.91,48.87,59.49,604.70%,26.38%,34.80%,35.32%,19.60%,146.50,8.04%,"71,616,892"
74,CPRT,35.18B,36.04,32.34,1.62,12.09,9.33,27.10,52.96,32.90%,7.15%,28.60%,22.30%,16.20%,149.28,1.50%,"694,147"
75,MAR,48.12B,106.92,28.33,-,4.15,53.99,62.33,79.01,-121.60%,82.24%,-17.70%,-,-6.10%,151.18,-1.84%,"2,175,584"
76,QRVO,16.89B,15.80,11.62,1.03,3.72,3.59,14.64,14.47,125.60%,10.61%,101.40%,15.40%,9.00%,152.88,0.27%,"2,021,104"
77,AMAT,138.67B,23.96,18.87,1.45,6.01,11.57,21.30,40.65,38.20%,18.77%,28.40%,16.54%,12.20%,153.66,4.01%,"6,779,635"
78,EXPE,24.29B,-,22.68,-,3.35,14.86,4.83,10.04,-604.10%,849.59%,-39.80%,8.50%,-4.90%,157.63,-0.40%,"2,839,559"
79,JKHY,11.71B,37.16,31.06,2.65,6.53,8.48,264.43,40.20,6.80%,9.30%,5.70%,14.00%,5.40%,159.92,-1.50%,"604,316"
80,SWKS,26.21B,17.83,12.43,1.42,5.13,4.99,25.70,33.03,87.00%,11.28%,11.60%,12.55%,9.20%,159.94,0.35%,"2,384,485"
81,TER,25.87B,30.48,25.59,1.98,7.23,10.49,19.71,31.56,64.50%,7.60%,34.60%,15.40%,13.70%,161.96,3.86%,"1,454,850"
82,IPGP,9.29B,35.08,28.76,1.11,6.49,3.32,6.12,34.32,-11.40%,16.23%,-8.10%,31.50%,5.90%,170.57,1.22%,"339,495"
83,TTWO,19.83B,35.36,25.53,2.60,5.88,5.71,8.63,47.87,43.60%,39.33%,121.30%,13.61%,19.00%,171.15,2.10%,"824,345"
84,PEP,233.49B,28.60,25.47,2.93,3.04,14.95,34.09,248.66,-1.50%,7.90%,6.90%,9.75%,2.20%,171.57,1.29%,"5,446,570"
